slug,layer,total,ai_in_loop,authority,mutation_by_ai,articulation,score_type,rationale
oh-my-design,H2,3,2,2,2,5,,"Makes DESIGN.md project-owned policy for coding agents (Claude Code/Codex/OpenCode) via installer, skills and doctor; no model call in the record, so the design loop belongs to the hosting agent. Managed files with markers/hashes and memory state are durable policy artifacts, not AI-created design."
okkslides,H2,7,7,7,6,6,,"Hosted presentation generator that imports a .pptx template and learns fonts/colors/layouts, then generates or redesigns decks with element-level canvas control and NL revisions; exports into editable PowerPoint. Template rule storage and post-export bidirectionality are not documented."
oneui,H2,6,7,7,4,5,,"Prompt- and screenshot-driven UI generator with hosted workspace and Figma paths (SVG elements, HTML-to-design import). Strong one-shot generation, but no evidence the AI iterates existing artifacts; version lineage, export round-trips and conflict semantics are undocumented."
open-agent-builder,H2,4,3,4,3,6,,"01.AI visual editor materializing a typed control graph into runnable code; nodes carry execution semantics and versions bridge canvas and generated source. Creation is automated code synthesis from a user-drawn graph, not a model deciding the design; runtime correctness unverified."
open-ai-design-agent,H2,7,8,8,7,6,,"Campaign-level plan is editable orchestration state: brief expands to logo/palette/poster/social/packaging/video with per-deliverable model routing, dependency-ordered generation, lock/edit/fork/resume. History is browser-local storage, capping articulation."
open-claude,H2,6,7,7,6,4,,"Build mode turns a prompt into a JSON file map of React source adopted by the browser and rendered in an iframe; later prompts receive the file list and can replace/add source. But files live in React useState, Monaco is read-only, and no durable project/version persistence exists."
open-codesign,H2,8,8,8,8,8,,"Local-first design agent over a workspace filesystem authority: pi-based agent assembles file/preview/done/ask/tweak tools, edits App.jsx via bounded tools, self-checks with rendered verification and repair, persists tweaks back to source, and snapshots versions. Strong full-loop AI-native workspace."
open-design,H2,6,5,6,6,8,,"Local-first agent workspace whose daemon commissions installed coding agents (Claude/Codex/etc.) that do the model-driven creation and mutation of canonical project files; plain adapters materialize <artifact> blocks. The model loop is delegated to external agents, so in-loop/authority are moderate, while files, per-file versions, SQLite control state and direct-edit patching give excellent articulation."
open-generative-ui,H2,6,8,8,4,5,,Reference system where a deep agent streams HTML/CSS/JS/function parameters into an isolated sandboxed UI with progressive rendering; the model supplies the complete artifact. Sandbox is a boundary; no project persistence/versioning exists and exported code leaves the managed surface.
open-gumloop,H2,4,5,3,3,6,,Small open visual workflow product: compact JSON graph compiled to LangGraph and executed in dependency order with model/tool/agent nodes via Composio. User authors the graph; AI executes nodes; graph persistence is durable but limited in scale.
open-pencil,H2,8,8,7,8,8,,"Design-document-native programmable editor (.fig/.pen scene graph) with built-in AI (100+ tools) that creates/modifies nodes, fills, layout, components, variables and exports, plus MCP/CLI/RPC surfaces for agents. AI directly mutates the durable design document; Skia/Yoga renderer and Yjs collab are first-class."
openada,H2,3,2,2,3,6,,Semantic contract between design agents and deterministic EDA tools: native drivers translate versioned engineering intent into commands and evidence. The record has no model call (agents are external); its own drivers execute intent with rich provenance schemas but cannot convert unavailable evidence into a pass.
openagent,H2,4,5,3,3,6,,Multi-tenant agent operations product where the governed agent record (JSONB engine_config) is the artifact and a real runtime executes model/tool-call loops with inspection/traces and delivery channels. AI runs inside configured agents; the product itself does not decide the design.
openai-agent-builder,H2,4,4,3,3,5,,"Architecture-level: OpenAI's visual canvas for composing agents from models/tools/logic with preview runs, inline evaluation and versioning before deployment; sunsetting Nov 2026. It governs executable agent configuration, but no open source or internal graph evidence exists and the AI decisions belong to the composed agents."
openai-codex,H2,9,9,8,9,8,,"Multi-surface coding-agent harness whose core loop is model-driven tool execution against real workspace files: apply_patch adds/deletes/moves real files across turns, image/browser input feeds visual evidence back, worktrees and JSONL rollouts persist. AI directly mutates and iterates the durable repo; the artifact is files/git rather than a structured design doc, capping articulation slightly."
opencad,H2,7,7,7,7,7,,"CAD-as-code stack where the LLM agent service generates and executes OpenCAD Python, returning code plus the updated feature DAG; versioned CAID JSON with named parameters lets SimCorrect deliver structured patches that OpenCAD applies to the model. The recoverable feature DAG is the durable design authority."
opencanvas-ai,H2,5,6,4,3,6,,Electron desktop studio where text/media/image/video model nodes form a local visual generation workflow; model nodes are executable and outputs branch as intermediates into later generations. AI creates media assets within a user-authored graph; local workflow/file services persist projects but AI does not edit the graph.
opencode-flow,H2,2,2,2,2,4,,"Archived experimental workspace putting a SQLite planning graph beside OpenCode sessions/worktrees, but nodes do not represent model/tool calls, the graph is never traversed for execution, and canvas change handlers do not persist edits. Historical record with an unfinished loop."
opendiagram,H2,8,8,7,7,8,,"Own server-side agent loop: model emits a typed DiagramSpec (semantic structure) that is validated and routed to deterministic ELK/sequence layout. AI owns what the architecture contains while code owns placement. Frame-targeted regeneration lets the agent replace an existing generated frame (and its stored spec) so it mutates persistent canvas work, though manual Excalidraw edits are not reverse-compiled and a regenerated frame can lose them. Artifact is a durable multi-diagram Excalidraw scene with per-frame spec persistence and local-first autosave; team/version history still roadmap."
openflow-ai-studio,H2,7,7,6,7,7,,"openAgent planner receives a bounded canvas snapshot and returns allowlisted add/update/connect/delete/execution targets; a deterministic apply path validates before mutating the Zustand node/edge graph. Model takes real design decisions within the allowlist, and Assist/Plan/Auto modes differ in authority. AI edits the same persistent graph a user edits (media, review material, annotations beside generation). Workflows saved/imported/exported as JSON and generated media persisted; dossier keeps artifact layers distinct."
openflowkit,H2,7,7,7,7,8,,"In-editor Flowpilot starts from prompt/code/screenshot or refines the current canvas; provider keys stay in the browser (incl. local Ollama) so the record itself calls models. Failed generated DSL is sent back for one repair turn before adoption, and the agent can refine an already-open graph. Canvas and OpenFlow DSL are bidirectional editors over one diagram; projects/snapshots persist in browser IndexedDB with JSON round trip, version snapshots and many export paths. MCP package deliberately narrower and kept separate from the in-editor loop."
openkombai,H2,6,8,7,2,5,,"Record's own two-model pipeline: a vision model describes an uploaded interface and a coding model turns that description into React source; the model loop decides layout/color/typography/interaction. Authority is high from image to complete source. No evidence for AI editing existing persistent work: output is one-shot and the pinned version neither compiles a live preview nor persists projects; mutation is absent. Source lands editable in Monaco with copy delivery but without durable project storage, capping articulation."
openmaic,H2,7,7,7,7,8,,"Agents act through bounded classroom tools (read scenes, issue classroom actions) rather than raw DB access; generated or revised artifact payloads pass canonicalization/validation before becoming current state, so the product's own AI loop revises persistent material. Whiteboard runtime is operation-based with foldable validated ops, conflict tests and a history UI. Saved/published interactive lessons plus PPTX/HTML/video export packages make durable, editable artifacts with recoverable native history."
openpage,H2,6,7,7,3,8,,"Record calls Gemini/server and accepts generation only after block/variant/theme validation, with a deterministic fallback; agent and human editing operate on the same typed SiteConfig document, so the model creates the site structure. No evidence the AI revises an existing saved project: edits happen in the editor and history keeps human config snapshots; AI mutation of existing work is unproven. Projects persist locally in projectsStore with version history snapshots and zero-runtime HTML export; HTML-to-JSON roundtrip is not in the source contract."
openpencil-zseven,H2,9,9,9,9,10,,"Built-in 15-tool design loop calls providers and turns model output into typed EditorCommand mutations on the canonical PenDocument; every AI write applies via the same command boundary as human edits. Orchestrator plans/scaffolds/sections, runs isolated concurrent workers replayed deterministically, then validates; batch_design scripts are constrained and transactional. AI directly edits, repairs and iterates the persistent .op document (atomic save, 100-entry undo, collaboration protocol, Git merge with node-level resolution). Durable canonical JSON document with node identity, conversion ledger, codegen targets, and four distinct history layers."
openscad-agent,H2,4,2,2,7,8,,"Claude Code environment: the model loop that decides dimensions/topology belongs to the external Claude Code agent the record enables, so per the critical rule ai_in_loop and authority are capped. The encoded loop is strong at mutation: numbered .scad revisions are written to disk, rendered to PNG for visual comparison, and the user/agent refine existing versions; STL export is geometry-validated. Versioned OpenSCAD source is the durable editable authority with render/export as downstream projections."
opentopos,H2,7,8,7,7,7,,"Own multi-agent pipeline: a design agent defines parts and world-space bounding-box contracts, part agents implement them in parallel, and a vision judge sends failures back into the source, so the model loop decides the 3D structure and iterates. Blender materializes/render and topos inspect (box measurement, floating/overlap detection) ground the loop. Recoverable authority is code/outputs/<slug>/src (design.json, per-part builders, assembly, joints) while renders/GLB/URDF are disposable projections; stateless runtime enables parallel part work."
openui,H2,6,7,6,5,5,,"Record's own loop: LLM streams OpenUI Lang built from the registered component library, so the model composes declared vocabulary into an executable program; the runtime executes state changes and mutations without another model call. Authority is bounded by the registered component contract; incremental editing changes parts of the program rather than whole blobs, giving some AI-driven revision of generated output. Articulation is capped because OpenUI itself supplies no hosted project database/version history; durable generated programs depend on the embedding application."
optiaxiom,H2,3,2,2,3,7,,"Optimizely design-system implementation whose AI surface is an MCP metadata server exposing component metadata/examples plus a Proteus JSON UI spec; the record itself contains no model loop, so design decisions belong to whatever external agent calls the MCP (critical rule caps ai/authority). No evidence the AI edits existing persistent work; agents can materialize a governed Proteus artifact. Durable side is strong: typed tokens, public Proteus JSON schema, traceable component vocabulary across React/Figma with design review guarding changes."
opticalmodeler,H2,4,2,2,7,6,,"Skill package executed by an external agent (model loop belongs to the caller), so ai_in_loop and authority are capped at 2. The encoded loop mutates persistent work: it reconstructs a 2D photonics schematic as a Blender optical table, saves/reopens the scene and runs mesh/ray/BVH/load-path checks, iterating the model with topology/aperture/load constraints as release gates. Artifacts carry manifests, hashes, annotated renders and machine-readable PASS/BLOCKED/UNVERIFIED acceptance states; result is not certification-grade."
orca-ide,H2,7,7,7,7,7,,"Agent IDE whose Design Mode turns a browser selection into grounded visual evidence for the coding agents the product runs; the product orchestrates model-agent execution across isolated Git worktrees. Authority: agents implement from source-linked evidence and the user promotes chosen candidates. Mutation: agents change real repository source in worktrees, snapshotted and compared, with explicit merge/promotion so parallel AI output does not silently overwrite. Articulation: Git worktrees, snapshots, annotated diffs and CLI-controllable browser/terminal surfaces are persistent; design evidence, implementation and promotion stay separate stages."
orchestral-ai,H2,6,7,6,4,6,,"Record's own plan route generates a structured candidate agent-and-task workflow from a project request, so the model decides the orchestration design; the run route executes tasks and the editor exposes status/logs. Authority is strong at planning but mixed with simulation-oriented status progression in delivery adapters. AI mutation of existing persistent design is limited: commit route writes accepted agent output, but the canvas graph itself is human-edited and no AI revision of the persisted graph is evidenced. Durable: workflow graph serialization, LocalStorage drafts and explicit handoff APIs."
osw-studio,H2,8,8,8,8,8,,"DeepSite-lineage prompt-to-app workspace with its own model loop generating application files into a browser VFS; IndexedDB VFS (not chat text or preview DOM) is the durable local source authority. AI generates and iterates files via file tools, with checkpoints capturing restorable workspace states and ZIP/OSWS archives for portability. Execution extends the product: virtual-server serves current VFS to the preview compiler and deployments add server-managed state; independent identity beyond the DeepSite fork."
owox-data-marts,H2,6,6,5,6,8,,"Product includes an AI assistant that proposes source/template actions, but mutating the governed DataMart requires an explicit apply gate that persists, verifies staleness and executes transactionally — so the record's own model loop makes proposals rather than autonomous design decisions. Authority: analysts own SQL; AI writes prose/reports from approved results and can create/revise reports via MCP (bounded, no arbitrary SQL). Persistent TypeORM state covers mart definitions, schemas, sessions, applied actions, reports, schedules and run history; no user-facing branch/commit history for arbitrary mart revisions."
owox-model-canvas,H2,4,3,3,4,7,,"AI boundary deliberately modest: the browser explains the schema to Claude/ChatGPT/Gemini and the user imports returned files, while the only in-record server call is a Gemini adapter generating insight questions, not design decisions — so the design-authoring loop is external and capped. Round-trip import/export between OKF Markdown bundles and the canvas lets externally authored models become editable graph state, with an explicit push gate to Data Marts drafts. Portable one-model-two-projections design (Markdown+YAML frontmatter vs. canvas) is durable and re-importable."
pagepilot,H2,5,6,6,2,4,,"Record's own OpenRouter call fills a bounded SiteDraft schema (eyebrow/headline/description/CTA/features) with deterministic local fallback, so the model takes content-level design decisions while a deterministic renderer owns layout. No evidence for AI editing existing work: output is one-shot generation with no revision path. Articulation is capped: the draft renders as responsive preview and interpolates into standalone HTML export, but arbitrary layout editing and durable projects are outside the product."
panth-pagebuilder-ai,H2,5,6,5,4,7,,"Extension's Generate controller routes prompt+reference to OpenAI/Anthropic itself, so the record contains its own model call producing PageBuilder-compatible content; Magento PageBuilder owns the published page graph and the model proposes native markup/field values. Authority is bounded by the host CMS. Mutation: proposals land as drafts (queue + approval) before becoming page state; no evidence the model revises existing published pages autonomously. Durable governance: saved prompt templates, knowledge base, RequestLogger records and monthly budgets; inserted blocks editable via normal Magento operations."
paper,H2,5,3,3,6,7,,"Closed hosted design canvas; public evidence shows design decisions come from external Claude/Codex agents through the localhost MCP gateway and the product's own AI is limited to image/AI-agent features with no evidenced core design loop, so ai/authority are penalized per closed-product rules. Mutation is well documented: id-addressed create/move/duplicate/update_styles/write_html/delete operations mutate the currently open hosted file the user also edits. Articulation: durable URL-addressed hosted file with real-time collaboration, tokens and presence, but version history/restore/backup and MCP revision semantics are undisclosed and must be penalized."
paper-framework-figure-studio-pro,H2,2,2,2,2,4,,"Packaged ChatGPT workflow: the model loop that generates/scores figure candidates belongs to external ChatGPT, and the record is a prompt/architecture package — per the critical rule ai_in_loop and authority are capped. Mutation is one-shot: generated images are review candidates, not an editable graph, and there is no AI edit of existing persistent work. Articulation: prompt packages, issue ledgers and checkpoints carry a durable decision trail, but final selection and manual SVG/PowerPoint reconstruction remain human work."
paper-to-any-studio,H2,3,3,3,3,5,,"Hosted commercial product (Nexus) recorded only at architecture/workflow-claims level; complete source is private and first-party explicitly distinguishes it from open Paper2Any. Model calls and generation mechanics are asserted but not source-verified, and lifecycle access was blocked, so AI-native dimensions are penalized for lack of evidence. Durable surface is only architectural: persistent Spaces, specialist Labs, online Office previews and async long-running jobs; no source-level artifact model or runtime is disclosed."
paper-to-schematic,H2,4,2,2,5,7,,"Agent-skill workspace executed by an external coding agent, so the vision/LLM loop belongs to the caller and ai/authority are capped. The encoded loop transcribes scanned arcade schematics into a structured board graph with human-verifiable component/net records; agent skills identify components without inventing pinouts and a reviewer verifies/wires detections before export, so AI-produced detections feed persistent graph state with a human gate. Durable: structured graph, per-sheet .kicad_sch exports, reparsing and optional KiCad ERC; some ERC wiring unfinished."
paper2any,H2,7,7,7,5,8,,"Record's own backend composes specialized LLM workflows (paper-to-PPT with parallel consistent style, paper-to-draw.io) that turn a paper into diagrams/routes/plots/decks, so the model loop decides the generated structure. Mask-edit tests and committed editable PPTX fixtures evidence AI revision of produced decks, though targeted-region revision is weakly sourced. Articulation is multi-authority and durable: executable WorkflowCanvas graph, output-specific editors, HTML-to-editable-PPTX with ONLYOFFICE projection and inline Draw.io editor make continuing authoring editable rather than image-only."
paper2poster,H2,7,7,7,6,7,,"Record's own multi-agent pipeline parses a paper into structured content/assets, plans a spatial hierarchy (tree_split_layout) and paints the poster; a critic loop sends visual defects back through a correction loop, so the AI makes layout/content decisions and iterates its own output. Mutation is real: generation-and-repair coordinates revision of the poster material, though the durable authority is the output .pptx. Parsed content/layout state is the planning authority; native PowerPoint objects and evaluation code make the loop inspectable."
partmode,H2,4,2,2,7,8,,"Parametric CAD studio whose agent path is a typed MCP surface for an external model; the record itself does not call models (OpenCascade WASM kernel is deterministic), so ai_in_loop and authority are capped at 2. Mutation is strong: studio-agent-service stages agent document mutations with preview-before-commit on a schema-versioned document, and BRep evidence (topology + measured geometry) feeds back into the loop. Articulation: schema-5 parametric document with history and STEP/STL/DXF/project export is a durable editable authority beyond text-to-mesh."
pbi-cli,H2,4,2,2,6,7,,"CLI plus skill for an external coding agent: the bundled skill directs the agent while the CLI performs deterministic changes, and the design loop belongs to the calling model, so ai/authority are capped. Mutation: the AI drives report commands (create pages/visuals, apply themes, validate, package) against persistent PBIR/TMDL source files, giving structured mutating access through typed contracts rather than arbitrary JSON patching. Articulation: versionable PBIP/PBIR/TMDL source package with snapshots/restore is the authority; rendered .pbix is delivery material."
pcb-agent-teams,H2,4,2,2,7,7,,"Ten-skill KiCad workspace executed by an external coding agent, so the model loop belongs to the caller and ai/authority are capped. The encoded loop generates KiCad source, runs independent checks (ERC/DRC/simulation), and can be blocked by mid-stage renders or human review, mutating project artifacts repeatedly across a full board lifecycle from topology to fab-ready release. Durable handoffs: STATUS.md, project folders with artifacts index, datasheets, analysis JSON, sourcing choices and timestamped release outputs; platform reach is honestly limited (macOS/KiCad 10 tested)."
pen-dev,H2,5,3,3,7,8,,"Closed file-native design system; design decisions are taken by external configured agents (Claude/Codex/Gemini) through the MCP/CLI while the product's own AI features (image generation, text AI via hosted providers) are not a core design loop, so ai/authority are penalized per closed-product rules. Mutation is strong and documented: execute/MCP design operations mutate the active .pen graph, with browser import, component/ref/descendant overrides and one-way Script conversion vs layers. Articulation: explicitly saved, Git-friendly JSON .pen document plus libraries/scripts/assets is the durable authority; no autosave, no semantic merge protocol."
pen-editor,H2,7,7,7,8,7,,"Original vector-design runtime with an embedded agent: backend supplies schemas and reasoning while tool execution stays in the browser, so the record's own loop streams tool calls into a flat scene store. Batch design operations are grouped into one undo entry and transactional scene mutations edit the same store the renderer and user editing use, including a documented fix where agent-facing serialization had to match the rendered layout. Pixelless authority: scene store drives direct editing, rendering, agent reads/writes, undo and export; document persistence via documentStore and historyStore."
penboard,H2,6,6,6,7,7,,"OpenPencil-derived product whose ordinary loop remains prompt or direct canvas editing, extending the same authority through MCP: connection and entity tools open/mutate/save the native document rather than returning detached suggestions, so agents (via the product's own prompt loop and MCP) take design decisions on screen connections, entities/fields/views. Mutations go through the same document store and history boundary as human edits. Articulation is the native .op document extended into a navigable storyboard and lightweight data model; attribution limited to a one-commit mirror with original repo 404."
penpot-ai-kit,H1,4,2,2,6,6,,"Official Penpot behavior layer (skills + policies) executed by an external agent against the raw Penpot MCP, so the model loop belongs to the caller and ai/authority are capped. The layer encodes governed mutation: three authority modes (suggest-only, review-gated, small approved auto-fixes), with meaningful writes requiring preview image and summary before continuation. Articulation of the kit itself: shared pipeline/report schemas and golden evals are testable and durable, DESIGN.md and reports are downstream evidence artifacts, while Penpot's file (not the kit) keeps versioning/undo; kit is a read-only seed copied into user scope."
phantom-raffay,H2,7,7,7,7,7,,"Record's own server calls Gemini to generate React/React Native projects; follow-up responses contain only changed files that the client merges by path into the current bundle, so the AI creates and then iteratively repairs existing source, with runtime errors surfaced as explicit correction requests against that current bundle. The saved multi-file project string in Firestore (per chat id) is the recoverable authority; WebContainer mounts a projection and ZIP/Netlify deliver the runtime filesystem. No source version graph: each follow-up overwrites saved current content, so earlier states depend on external history."
picwise-ai,H2,4,4,4,3,4,,"Figma plugin combining model generation with background removal, upscaling and image tracing; architecture-level evidence only — the creator discloses no model providers, transport, vectorization algorithm or licensing, and no current first-party changelog/source exists, so AI capabilities are asserted but only partly evidenced. Correction paths process the user's input into new artifacts rather than editing existing persistent design work. Tracing claims host-native vector layers (structurally different editability from generated bitmaps), but resolution/grouping/color-hole behavior is unknown."
pigcasso-canvas,H2,6,6,6,5,7,,"Record's own chat loop translates intents into queued canvas actions with current selection and attachments as context, so the model takes design decisions for images/edits/HTML cards/ideation while humans continue with selection tools and direct manipulation. Mutation: AI actions apply to the active canvas with layer-aware context, though the dossier evidences action queuing more than deep iterative revision. Articulation: Postgres persists the tldraw canvas document + chat history, snapshot persistence hydrates the board from the tldraw snapshot (not the cover image), and the Fabric editor has its own serialization and undo history — all before derivative delivery (PNG/NFT/gallery)."
pilot-marketing-ai-design-system,H2,3,2,2,2,5,,"The product is a first-party brand authority artifact prepared for agent consumption, not an agent: the repository contains no model call and takes no design decisions — AI is hypothetical here (capped). Enforcement depends on the consuming agent/reviewers since the system does not lint or write generated artifacts. Articulation is middling: canonical design-system Markdown beside approved assets is durable and Git-versioned, and generated pages/decks are reviewed against the same contract, but nothing AI-produced is persisted by the record itself."
pinvou-agent,H2,7,7,7,7,6,,"Desktop agent with a dedicated Design mode whose bundled visual-design skill drives creation; the agent produces an HTML artifact that runs in a live runtime where the user can select elements and edit properties directly, then ask the agent to revise the same work — closing the edit-revise loop with the record's own agent. Rust artifact commands own filesystem/session persistence and reopen, so the artifact is the working authority and screenshots are previews. Articulation capped: no collaborative branch/version model evidenced; recoverability is at the local artifact/session level."
pitch-craft,H2,6,7,7,5,5,,"Record's own chat engine supplies prior messages to Gemini and requires complete HTML, making the assistant's full response the site artifact; a later correction sees earlier source as conversation history, so the AI regenerates/overwrites the site within chat. Mutation is real but coarse (whole-HTML replacement, no separate VFS snapshot). Articulation: Firestore retains authenticated chats and message ordering persistently and the preview is direct srcDoc, but there is no separate version entity or deployment record, capping durability."
pix,H2,4,2,2,7,7,,"Instruction package (skill) run inside Claude Code: the model loop that compares Figma reference screenshots against the running implementation belongs to the external agent, so ai/authority are capped per the critical rule. The encoded loop is a strong mutation loop: it preflights Figma MCP/Chrome, implements, captures runtime screenshot + computed styles, diagnoses visual difference and repeatedly corrects repository source until convergence; Figma stays reference authority and is never mutated. Repository source is the durable authority; screenshots are transient evidence; no independent metric engine or persisted comparison history."
pixelruller,H2,4,2,2,5,6,,"The app itself does not call a model (stated explicitly): AI participation comes from a co-located external coding agent following the documented skill and command interface, so ai/authority are capped. Mutation: the external agent reads and writes the same structured design JSON that the human canvas edits; changes are structured, inspectable and immediately rendered, with demo mode exercising declared interactions. Articulation: design JSON is the meeting point (windows, elements, hierarchy, sizing, responsive visibility, actions), persisted in repo files, with HTML/JSON/XML exports deriving from the model rather than replacing it."
pixso,H2,4,4,4,2,7,,"Collaborative native design file with MCP transports (local desktop / remote token) that hand design context to external IDE agents; the record's own Pixso AI generation exists at architecture level but its loop is not source-verified, and design decisions via agents come through the MCP contract, so ai/authority stay moderate. Mutation is absent from the evidenced tool contract: getCode/getImage return grounded HTML-shaped structure and rendered assets for implementation, and edit authority stays in the Pixso file (agents do not mutate it). Articulation: native file with pages/layers/components/styles/variables plus sharing permissions is durable."
poco,H2,5,6,5,4,7,,"General agent coworker whose design-relevant surface is a first-class artifacts view: agents in sessions produce HTML/PDF/Markdown/images/video/XMind/Excalidraw/Draw.io results that can be previewed, so model-driven creation happens inside the product's agent sessions. Authority is general-purpose rather than design-specialized. Mutation is bounded by design: published artifacts are shared read-only context with explicit database identity, ownership and API access — not a writable channel filesystem. Articulation: publication, runtime read tools and the artifact tree make persistence, collaboration and reuse explicit parts of the visual-output loop."
polaris-umang,H2,7,7,7,7,6,,"Record's own prompt-to-app loop: Inngest conversation tools let the model list/read/create/update/rename/delete file records in the Convex project graph, so the AI generates and then directly revises existing files; CodeMirror gives a parallel human source surface and WebContainer projects the current file tree for preview/terminal evidence. GitHub import/export is an explicit synchronization boundary with its own job lifecycle; the Convex project remains authoritative until a remote operation succeeds. Articulation capped by absence of a snapshot/restore ledger — in-product project is a latest-state authority, history only after export."
polysynergy,H2,3,2,2,3,6,,"Visual automation platform composing agent/tool nodes into executable blueprints; the dossier evidences node history, connector validation, grouping, project state and flow execution, but no model call or AI design decision in the record itself — workflows are human-composed with AI agents as executed nodes, so ai/authority are capped. No evidence AI edits the persistent blueprint graph. Articulation: the canvas owns executable structure with project state and execution feedback, and routes/schedules/published project services are downstream forms of the same durable blueprint."
posecode,H2,3.0,2,2,2,7,,"Language spec + parser with a posecode-mcp package that exposes generation/critique to external agents; the record itself contains no model call, so per the critical rule ai_in_loop and authority cap low. .posecode text source is the canonical durable, inspectable, diffable artifact, giving good articulation."
powerpoint-business,H2,7.8,8,8,7,8,,"SVG-native multi-agent presentation workflow whose five roles (Planner/Designer/Reviewer etc.) drive model-driven deck creation from brief through to native-format slides. Natural-language edits resolve via slide manifest, target semantic SVG and save prior source under history before regeneration; Reviewer routes failures back to responsible roles. Semantic SVG + manifest own editability and persist as durable structured authority."
ppt-as-code,H2,6.4,6,6,6,8,,"Presentation skill/workbench where staged docs feed deck_model.json as editable canvas source and a runnable workbench supports object selection/move/resize/inspector edits; HTML Direct Mode edits built decks with stable markers. The AI loop is executed by the host agent following the skill, so loop/authority are moderate; model contracts, manifests and the workbench give durable, editable articulation."
ppt-design-prompt,H2,2.0,1,1,1,6,,"Deterministic converter.py pipeline that translates web DESIGN.md into presentation-image DESIGN.md + conversion manifest; the record makes no model call and performs no design creation (an image/slide agent consumes its output later). Output files are durable and editable, but the record itself has no AI loop, authority or mutation."
ppt-master,H2,6.4,6,7,5,8,,"Agent skill with real scripts: locked design_spec → per-slide SVG → finalize/validate → DrawingML PPTX with delivery checks, so the host agent generates the full editable deck. Native PPTX geometry is the handoff authority with reproducible intermediates, but mutation is largely one-shot materialization; quick mode trades away the resumable staged workflow."
ppt-saas,H2,6.5,7,7,5,7,,"Real backend with content/template/image/design/document agents generating decks from a large template set and writing .pptx files. Direct SlideEditor exists but the global chat is not wired into it (App.jsx logs 'would integrate'), so AI-driven mutation of the open deck is not yet source-proven; deck history and native files give durable articulation."
pptagent,H2,8.3,9,8,8,8,,"DeepPresenter agent loop plans, authors per-slide HTML in a workspace, renders for visual reflection, and repairs defects before PPTX materialization; the record's own model-driven design loop is core. HTML slide files are the editable authority; conversation/tool state is persisted separately in JSONL."
pptist,H2,7.0,8,7,5,8,,"Browser presentation editor whose AIPPT path streams an editable outline + typed slides that land directly in the normal editor slide store, then export to PPTX. Generation feeds the same editable authority, but two human checkpoints (outline, template) and no evidence of AI re-editing existing slides cap authority/mutation; IndexedDB snapshots give durable articulation."
pradaslides,H2,3.8,3,3,3,7,,"Architecture-level capability-routing skill executed by an external host agent; no own model call or implementation source, so loop and authority are capped per the critical rule. Routing to editable PPTX/HTML authorities, media roles and visual QA give decent articulation despite the absence of runnable code."
prd-to-ui-automation-agent,H2,6.3,8,7,3,7,,"Four real agents (Requirements/Journey/Wireframe/HighFidelity) transform a PRD into structured JSON specs, wireframes and a merged UI spec with exporters; models called for real in non-mock mode. Linear accumulation with no evidence of AI revising earlier stage outputs or visual validation caps mutation; stage artifacts and exports are durable."
prefab,H2,6.5,7,6,5,8,,"Python component-tree framework whose GenerativeUI mode accepts model-written Prefab Python, validates it in browser/server sandboxes and serializes only what imports into a versioned PrefabApp JSON envelope rendered by a trusted React renderer. Model-authoring is constrained to the component vocabulary and persistence is delegated to the host, capping authority/mutation; the versioned envelope is a strong durable artifact."
premium-vector-icon-designer,H2,4.1,3,3,4,7,,"Codex-compatible skill pack (SKILL.md + grid assets + SVG output rules) executed by the host agent; no model call in the record, so loop/authority stay low. Explicit construction grids, repair pass and audit/revision gates instruct the agent to fix malformed SVG, and editable SVG is a durable artifact authority."
premium-website-generator-edouard,H2,8.6,9,8,9,8,,Tool-calling code agent reconstructs a VirtualFileSystem from the project graph and performs file creation/replacement/rename/delete plus Figma tools during the streamed response; design libraries enter as agent context. AI directly mutates the persistent project authority. On completion the serialized file graph persists to PostgreSQL.
presentation-ai,H2,7.8,8,7,8,8,,"Outline-first slide app whose presentation agent can search, regenerate and edit an existing presentation, parsing generated XML into the same Plate-based slide graph as direct editing. Up to 50 undo/redo snapshots and Prisma-backed persistence make the managed slide graph a durable authority; PPTX export is best-effort/lossy."
presentation-app,H2,7.8,8,8,8,7,,Local web app where an agent session creates and revises stored HTML slides across turns; session.py persists sessions/messages/slide records on disk and the agent mutates that persisted state. PPTX is a projection of the ordered HTML slide state; the conversational UI is the main editing surface.
presentation-builder,H2,4.3,3,3,5,7,,"Repo-native studio for Claude Code: script + executable style-reference implementation → agent authors a self-contained HTML deck, revised through browser review or new instructions. Generation belongs to the host agent (loop/authority capped); HTML is both authority and delivery artifact, and revision operates on the persistent source file."
presenton,H2,6.8,8,8,3,8,,"Self-hostable AI presentation workspace: brief/document → typed outline → typed presentation structure → editable Konva slide elements → PPTX/PDF with preserved editability. AI creates the full structured deck, but editing is human drag/inline work with no evidence of AI iterating existing decks; typed models and editor state give durable articulation."
preso,H2,6.6,7,7,6,6,,"Architecture-level closed deck engine behind browser editor, REST API and MCP: users describe a deck, then edit generated copy/layout/charts by chat or nudges, guided by a saved brand kit; exports to PPTX/PDF/Slides. Closed implementation with no published schema, exact tools or version graph penalizes articulation; chat-driven revision of the generated deck is evidenced."
