slug,total,authority,mutation,artifact,human_loop,delivery,rationale
totalum-ai-app-builder,6.6,7,6,7,6,7,"The open client exposes typed operations for agent runs, deployments, GitHub, database, versions and hosting against the external VCaaS API, evidencing an AI app-builder workspace with recoverable build versions. The repository 'proves the interface and orchestration surface, not the server-side mutation implementation', so authority, mutation and delivery are scored from the product contract and penalized for the closed execution plane."
edacraft,6.0,6,6,7,5,6,"The EDACode agent calls OpenAI/Anthropic through explicit providers and drives typed EDA tools (schematic, layout, PEX, EMIR, simulation) plus an executable RTLCraft Python DSL, so AI can design RTL and run engineering flows. White-box closure keeps generated source and tool results inspectable (artifact 7), but the engineer still drives the loop and execution is unevenly mature across subprojects, keeping human_loop and delivery mid."
paper-to-schematic,5.6,5,5,7,4,7,"Agent skills identify components without inventing pinouts and produce a board graph, but 'human review sits between vision and electrical source' — the Explorer UI requires the reviewer to move, resize, verify and wire detections, so human does decisive electrical work (authority 5, human_loop 4). The validated graph exports to per-sheet .kicad_sch with ERC checks, giving durable artifact and delivery."
figma-cli,6.4,4,8,8,5,7,"This is a local bridge giving coding agents a command surface over Figma Desktop: 'commands create and edit real frames, components, variants, variables and text in the open native document', so the product is agent-driven infrastructure (authority penalized per rule 6) while the AI agent supplies design decisions. Mutation and artifact are strong — the native Figma graph is the durable editable artifact, with snapshots and design-system projections; Figma stays the authority."
sandboxd,7.2,8,8,8,6,6,"The agent prompt instructs the model to create and run the app inside an isolated sandbox and bind it for public preview routing, with snapshots 'freezing workspace images for later reuse and forks' — AI authors the app and mutates a persistent source workspace. Delivery is penalized because DeployModal 'explicitly says the deployment backend is not wired', so the loop stops at public preview, editable source and snapshots rather than production publish."
opsiforce,8.2,8,9,9,7,8,"The operative agent contract says the embedded agent installs and edits in /workspace/app, type-checks, boots services and 'walk[s] the real user flow with a browser before declaring the app ready', so AI authors and natively mutates real source. Project volumes preserve source, Git history, session state and app databases across pod replacement, and publication copies tracked source into a Production environment, closing a persistent, deployable loop."
visual-authoring,6.2,7,6,7,5,6,"The SKILL.md routes an agent from source inventory and reader intent through visual strategy, artifact selection, implementation, review and human release, so AI executes the design method and produces documents/slides/pages. The gated human release and review step keeps human_loop low-mid, and mutation is moderate because iteration is procedural rather than an explicit AI edit loop over one persistent artifact; delivery spans multiple artifact formats without one universal product."
genui-aman,6.2,8,5,5,6,7,"Home.jsx calls gemini-2.5-flash and the fenced result is stored in a single code state variable that Monaco edits and the iframe renders, so AI authors the artifact and 'every editor keystroke immediately changes what will next be previewed or exported'. Mutation is human-driven (corrections are direct code edits in Monaco), and persistence is 'intentionally narrow' — only the color theme survives reload, so artifact is penalized; copy/download/fullscreen close export."
worried-presenter,5.8,7,5,6,5,6,"The plugin imports Figma frames, records the designer's spoken run and 'generates delivery feedback and a more coherent story-driven script', so AI authors the narrative in the context of a selected visual sequence. The implementation is closed and newly released, so what is sent to the model and script-frame mapping are unknown; human edit/re-record/rehearsal steps dominate the loop and exported layer format/history semantics are unproven, penalizing mutation and artifact."
stagewise,7.6,8,8,8,6,8,"A live web page runs in WebContentsView with CDP attached, and selection tracking plus React Fiber ancestry feed structured runtime context to the coding agent, which 'can modify a connected codebase' — AI authors code changes from live visual/runtime context. The connected project/repository is the durable editable artifact with local libSQL persistence, and delivery lands real edits in the repo; exact source-file/line mapping and approval semantics are unproven, so human_loop is penalized."
designmd,4.8,3,3,7,5,6,"This is a publication/governance system where automated review 'proves conformance to a file contract' for DESIGN.md documents — AI validates but does not create the design, and mutation of published entries is unproven ('unknown whether a published item can be revised in place'), so authority and mutation are low per rule 6. The governed artifact and publication state are durable, and REST/MCP plus Tailwind/DTCG exports deliver it to consumers; the database/ranking/API internals remain closed."
ai-workflow-builder-anshii,4.4,2,3,7,4,6,"Workflows are 'organization-scoped sequence[s] of typed steps and triggers' authored through a structured editor over relational records — the human composes the workflow design and there is no evidence AI authors the graph, so authority is minimal. LLM steps execute inside runs but do not mutate the design artifact, penalizing mutation; durable Nhost tables, RBAC/quota gating and a real run engine provide artifact and delivery strength."
owox-model-canvas,6.8,6,7,8,6,7,"AI can author the same portable OKF Markdown model a person edits on the canvas — the browser explains the schema to Claude/ChatGPT/Gemini and imports the returned files — so AI authors data models through an explicit, deliberately modest boundary. The canvas and Markdown bundle round-trip without losing the model (artifact 8, mutation 7), and push creates draft marts behind an explicit gate for delivery."
nodebase-ai-workflow-builder,4.8,3,4,7,4,6,"The workflow graph is user-composed in React Flow and persisted in Prisma, while AI model nodes execute via real provider adapters inside the graph — AI executes steps but does not author the design, so authority is low per rule 6. Mutation is weak because LLM outputs accumulate into a shared context rather than editing the persisted graph; durable graph persistence and real Inngest execution close an executable delivery loop, with no workflow-version snapshots."
lovart,6.4,8,5,7,5,7,"Lovart's agent plans a campaign and produces multiple visual assets from a brief plus Brand Kit context, giving AI strong authorship ('Lovart's agent can plan a campaign and produce several visual assets'). Users then move/resize/group/edit elements on the infinite ChatCanvas, so AI-driven iteration on existing assets is weakly evidenced and mutation is scored modestly. Artifact is a durable generated-file inventory plus canvas with native element/layer structure, with exports at item and project level; no public schema proves canvas serialization, so persistence details were penalized."
tooljet,6.6,6,6,8,5,8,"ToolJet combines AI app generation with a conventional drag-and-drop low-code builder, so AI shares authorship with manual construction ('Generated starts land in ToolJet's component canvas'). Components, queries and workflows remain configurable and versions promote through GitSync/deployment, evidencing direct editing and durable structured artifacts. The AGPL tree does not expose the hosted generation path's mutation internals, and humans still hand-build much of the app, so mutation and human_loop are kept moderate."
google-stitch,8.6,9,9,9,8,8,"Stitch turns prompts/images/codebases into a hosted project graph of screens and design-system assets with real-time streaming, making AI the primary author ('Design Agent... reasoning across the project and streaming work onto the canvas'). Remote MCP exposes mutating tools (edit_screens, generate_variants, apply_design_system, create_project), so AI directly changes persistent hosted artifacts. Project/screen/design-system identities are durable and structured; delivery forks to Figma, code, Netlify and ZIP, though exports create new downstream authorities rather than reverse-syncing."
sketch-chat,6.4,7,6,8,5,6,"Sketch.chat has Gemini produce complete mxGraph XML and 'writes a timestamped .drawio file', so the AI authors the whole native diagram document. editDiagram sends the current file with the requested change and returns a complete document, evidencing iterative mutation, though as whole-document rewrite rather than granular editing. The vendored draw.io runtime validates, renders and exports PNG/SVG/normalized XML, making the .drawio file a durable editable artifact; humans must still review correctness in draw.io."
jihan-ai-web-builder,5.6,6,4,7,5,6,"The local Ollama model generates a bounded section JSON (hero/features/testimonials/pricing/CTA) that is parsed and previewed before a manual Apply updates the MongoDB-backed page — 'only updates the stored page after the user chooses Apply'. Mutation is weak because the UI replaces the whole section array rather than offering granular AI editing. The typed block renderer and persisted page provide a durable structured artifact, and a deployable page is rendered; the loop is an explicit early prototype."
kicad-schematic-kenchan,6.0,7,6,7,5,5,"The skill has agents write Python through SchematicBuilder and 'run KiCad ERC over the resulting .kicad_sch', so AI authors and repairs a native engineering schematic with pinned library pins. Repair/iteration on the persistent file is real but scoped to schematics, and ERC is a structural check only. The .kicad_sch is a durable, inspectable native artifact, but the skill deliberately excludes PCB layout, so delivery covers the schematic fragment rather than a full manufactured product."
diamond-design-ai,6.0,7,7,6,5,5,"A consultant conversation dispatches typed actions and 'edit-design uses the selected source image and preservation-focused instruction', giving AI real image-level authorship and versioned mutation of a selected prior concept. Supabase records sessions/image rows and versions, so concept lineage is durable, though the artifact is a bitmap-plus-brief rather than a parametric model. Delivery is a workshop-oriented handoff (PDF/PNG/text) and the source does not produce manufacturing CAD, so delivery is bounded."
efecto,7.4,8,8,8,6,7,"Efecto's Jules agent, agent teams and external 68-tool MCP surface all address the same artboards-with-data-id node document, so AI authors and mutates the persistent structured design ('Direct manipulation, Jules and the 68-tool MCP surface address that same document'). Brand-system tokens and directives govern node creation/updates, and IndexedDB plus cloud sync persist the document. Delivery moves designs to JSX/React+Tailwind, ZIP, GitHub, Vercel or v0; the host editor and MCP server are closed, so internal mutation semantics are architecture-level."
atoms,7.8,8,8,8,6,9,"Atoms' eight-specialist team turns a brief into a specification the user approves, then agents write and refine full-stack code ('describe, review the plan, let agents write code, and deploy') with Visual Editor and Add-to-Chat agent paths mutating the generated project. Hosted project files, Theme, versions and Cloud resources persist as durable structured state. Delivery is closed-loop through production publish, domains, ZIP and Git, though Cloud projects disable history versions and rollback semantics remain unknown."
ai-diagrams-toolkit,4.0,4,3,6,4,3,"The toolkit is governance rather than an author: it packages instructions, commands, templates and tests that constrain Mermaid files produced by an external agent ('.ai/AGENTS.md assigns colors by meaning'), so authority and mutation belong mainly to the host agent. Artifact .mmd files, templates and test scripts are durable repository files. The tests explicitly ask a person to open and verify rendering, and delivery ends at Mermaid source with an external renderer, so delivery is a fragment."
faisca,6.2,7,5,6,5,8,"Faísca turns a brand brief and voice/visual rules into copy and designed posts, with native adjustment present but its mechanism (layer-based vs regenerated) undisclosed, so mutation is penalized for missing evidence. The durable object is a managed content program of assets, brand context and a release calendar. Delivery is distinctive and strong: posts are organized, approved, scheduled and published to channels across multiple brands within the service."
ai-website-generator-tulsi,5.0,6,3,6,4,6,"Gemini emits a typed WebsiteBlueprint for website type/theme/sections/colors/content, so AI defines composition and content within fixed renderers ('deterministic Python components retain rendering authority'). There is no evidence AI edits an existing page — generation is one-shot with no revision history in MongoDB, so mutation is low. The compiled HTML and blueprint persist on disk/MongoDB and produce a single deployable page."
designmd-maker-jp,4.8,6,2,6,4,6,"AI proposes up to ten font/color directions and only 'the accepted direction becomes the final Markdown file', so the AI proposes while the human selects the design. There is no evidence of AI iteration on a persistent artifact — the downloaded DESIGN.md is a snapshot, so mutation is minimal. The DESIGN.md is a durable, portable constraint artifact consumable by coding agents or delivery teams; version history and downstream consumers are not published."
gemcoder-ai,4.8,6,3,5,4,6,"Gemcoder.AI's first-party surface describes AI-generated application code from product requirements as 'one project path', but 'does not expose the project schema, code-generation runtime, persistence/version model', so authority is credited on product claims only and mutation/artifact lack evidence. Delivery is claimed as a managed deliverable application, but without implementation evidence the deeper loop cannot be verified. Lifecycle is active-transition and marketing efficiency claims are excluded."
ai-design-skills,4.2,4,3,6,4,4,"AI Design Skills is a distribution of designer-authored SKILL.md files that direct extraction, materialization and critique, so the collection itself does not author designs but enables an agent to produce explicit outputs (tokens.json, component docs, responsive code, critique reports). Mutation of persistent design artifacts is minimal and mostly conversion-oriented. Outputs are durable files, but the product is a skill bundle/bridge — delivery covers fragments like Figma-to-Tailwind materialization rather than a shipped result."
tutti,5.2,5,4,7,5,5,"Tutti defines design as one callable capability inside a real-time multi-agent workspace where 'conversations, files, tasks and app outputs can be referenced across Codex, Claude Code and other agents', so its own authority is coordination rather than design authorship. The SQLite-backed workspace durably persists sessions, files and task state, giving a strong shared-context artifact. Mutation and delivery of the actual design happen inside the referenced apps, which remain architecture-level, so those dimensions are bounded."
garden-skills,5.6,6,5,7,4,6,"The web-design-engineer skill has agents compose source blocks and 'requires browser acceptance rather than trusting code inspection', giving the AI real authorship over web and animated-presentation implementations. Source files and theme token directories are authoritative with Git for history, enabling iteration. Human browser acceptance is a deliberate gate, and delivery is source implementation plus a recorded video projection of the presentation runtime — no hosted canvas or persistence service."
uigen-arshan,6.4,7,7,7,5,6,"UIGen asks Gemini for React/TypeScript source and the chat route 'distinguishes a modification request from a fresh request and supplies the current main component plus conversation history', so follow-up intent returns to and rewrites the source-bearing project. The preview is a deliberately lossy projection that strips handlers, while the downloaded full project tree (JSON) is more authoritative. Project state lives in the browser with no server-side history evidenced, so durability is limited."
architechtures,6.2,7,6,8,4,6,"ARCHITEChTURES' Auto mode uses parameters and generative assistance to create/regenerate building, floor and site layouts, so AI authors design variants within a navigable 3D BIM project with linked analytical metrics. Manual mode is human geometric correction and Readonly freezes review, so AI mutation is limited to regeneration while humans do hands-on geometry. IFC/DXF/XLSX exports carry an explicit invalidation rule after re-editing, evidencing export-based delivery from a durable BIM project."
pptcraft,7.2,8,7,7,6,8,"PPTCraft turns an outline and data into vector slide geometry, and its loop 'renders the actual draft into pixels for a vision critique and redraws weak slides before repeating geometry checks', giving AI strong authorship with an iterative redraw mutation loop on the same deck. Deterministic overlap/clipping/chart checks give the artifact real structure before native editable PPTX materialization. It is an invite-only preview with no published version/persistence model, and quality claims are excluded."
magic-patterns,8.4,9,9,9,7,8,"Magic Patterns turns prompts into full React/TypeScript Designs and the agent asynchronously changes the active artifact, with MCP/REST clone/write/publish operations directly editing persistent artifact snapshots (artifact ids, version timelines, compile/publish gates). Design Systems add guarded, versioned component/rule authority, and version restore/fork provide durable recovery. Delivery forks to published sites, GitHub sync, Figma, ZIP and PDF, though the hosted compiler/sandbox and some race semantics remain closed."
llmo-diagram-generator,5.8,7,6,6,5,5,"A local Ollama model receives the conversation and 'tells the model to modify the previous diagram when a user asks for an update', so AI authors complete Mermaid source in a genuinely multi-turn chat loop. SQLite preserves generated turns, but manual textarea corrections are not written back and vanish on reload, so the durable artifact only tracks generated state. Delivery ends at .mmd download and live preview, with no built-in raster export."
preso,6.4,7,6,7,5,7,"Preso exposes one deck engine behind a browser editor, REST API, MCP and event triggers, so AI and external agents create and edit decks while a saved brand kit supplies voice/visual rules. Editable deck projects and brand kits are durable managed artifacts. Delivery to PPTX/PDF/Google Slides and live share is closed-loop, though the public material does not publish slide schema, exact MCP tools or version history, so mutation/detail are penalized for missing evidence."
slideflow,6.4,7,6,7,5,7,"SlideFlow's LangGraph state drives parallel content and page generation over an explicit PPTState, so AI authors outline, pages and workspace files. MCP tools let external agents write HTML pages onto the same file authority, evidencing iterative mutation of the workspace. The distinctive step 'reconstructs generated HTML into PowerPoint vector elements' provides a native, editable PPTX delivery while HTML workspaces persist intermediate structure."
froglips,5.2,5,5,7,5,4,"Froglips' Flows surface is a visual multi-agent authoring graph where users place typed cards (model, role, prompt, tool allowlist, approval policy) and the runner executes the authored graph with an in-process local model — AI executes user-authored orchestration rather than authoring a design directly. SQLite durably stores workflow JSON, run results and scheduler state, giving a strong recoverable machine-local artifact. Delivery is bounded to runs within the workstation (chat/table/knowledge) rather than a shipped design product."
openai-codex,8.2,8,9,9,7,8,"Codex turns briefs, screenshots and annotations into real workspace files via constrained tool execution, and apply_patch 'can add, delete, move and update real files' across iterative turns, so the AI authors and directly mutates the persistent repository artifact. The durable result is files plus Git state, with JSONL thread rollouts and SQLite index as separate conversation clocks. Delivery is repository-returning — the result is usable when files, render, tests and Git state are independently obtainable; visual targets remain tool-supplied context rather than a DOM-to-source mapping."
rocketpen,6.4,7,5,8,5,7,"RocketPen generates and reconstructs prompts/screenshots/web pages into editable Figma layers, components and Auto Layout, giving AI strong authorship of the native Figma graph. After insertion, humans or model-assisted edits manipulate the layers, but no edit history or back-iteration on the captured source is evidenced, so mutation is moderate. Figma becomes the durable working authority with production-usable output; the .pen schema and segmentation details are undisclosed."
architecture-drawio-automation,6.4,6,7,8,5,6,"The MCP server exposes thirteen granular operations — create diagrams, inspect summaries, add/update nodes, remove elements — so an agent performs direct, addressable mutations on the same mxGraph XML that draw.io opens, giving true iterative mutation of the native artifact. The .drawio files are durable and inspectable, with verifiers and parser tests reducing malformed output while draw.io remains the independent editor/renderer. Delivery is the native diagram via draw.io, closer to a source-control-friendly automation layer than a hosted canvas."
m2-canvas,7.4,8,8,8,6,7,"M2 Canvas structures the design as node JSON referencing registered React components and a design-system version (dsRef), and both the built-in agent and MCP-connected agents 'create or patch the node JSON' with only the affected node rerendering — AI authors and directly mutates the structured authority. Components are real React implementations and people and agents meet at the same authority in real-time multiplayer. Delivery is copyable JSON and production handoff; version migration, conflict resolution and persistence schema are not public, so those are penalized."
zephyr-framework,4.6,6,5,5,4,3,"Zephyr is a component/runtime substrate where agents discover, inspect and operate UI through typed contracts — the A2UI catalog and renderer let an agent 'construct new UI from declarative messages', evidencing real AI authorship of interface structure. Mutation acts on live runtime state while mounted rather than a durable design project. It deliberately imposes no database, project history or deployment service, so artifact durability and closed-loop delivery are low — it is a substrate rather than a design product."
codia,6.0,6,4,7,6,7,"Vision layer reconstructs screenshots/PDFs/design files into a proprietary VisualElement schema that adapters materialize as editable Figma/PPTX/SVG/JSON or code; AI does the reconstruction, but the designed content originates in the source material and the dossier notes Codia itself recommends designer review. Mutation is limited: conversational/prompt generation and MCP/VisualStruct API exist, but direct AI iteration on a persistent artifact is not strongly evidenced (mutation 4). Artifact and delivery are durable editable outputs (7) and the pipeline runs automatically with review recommended (human_loop 6)."
diagram-creator-pramit,4.6,5,2,6,4,6,"Agent instructions guide creation of Eraser-notation source that Python scripts convert to PNG, DOT and editable native draw.io files; an agent-authored one-shot pipeline to a durable deliverable, so authority/artifact/delivery are moderate. No persistent workspace, bidirectional sync, or AI iteration on existing output is evidenced (mutation 2); the filesystem-delivery shape and script-driven flow set human_loop 4."
figma-design-system-skills,6.0,6,7,7,5,5,"Three skills apply/audit/fix a design system on native Figma documents through host-provided MCP reads and use_figma writes; direct, bounded mutation of existing Figma work (replace local construction with shared components, repair one chosen finding) supports mutation 7. The AI decides substitutions within the system (authority 6) and Figma owns the durable doc (artifact 7); the human selects the finding and reviews, so human_loop 5, and the deliverable is the improved document rather than a shipped result (delivery 5)."
webflow-ai,8.4,9,8,9,7,9,"AI site builder turns a brief into a hosted Flowkit site (variables/classes/components/Style guide), the Assistant inserts native sections/copy/CMS items, AI code components create editable one-file React, and MCP 2.0 lets external agents mutate the native site graph; prompt-to-published-site coverage with an editable governed artifact supports authority/artifact/delivery 8-9. Multiple human gates (plan approval, page selection, candidate acceptance, explicit publish) keep human_loop at 7, and mutation 8 reflects Assistant and MCP writes to the native graph with documented boundaries."
open-gumloop,4.2,3,3,6,4,5,"A visual workflow product where users build a React Flow graph serialized as a workflow definition compiled to LangGraph; the user designs the workflow and language-model nodes execute within it, so authority is low (3). The graph is durable, editable and reloadable (artifact 6) but the AI does not author or mutate the graph itself (mutation 3); delivery is workflow execution rather than a design deliverable (5)."
brand-docs,5.8,6,4,7,5,7,"Engine runs extract→comprehend→verify→generate to learn a Word/PPT/Excel template into a Brand Profile and publish same-format documents after deterministic checks and render-based visual QA; AI generates documents within a captured brand shell, so authority 6 and artifact/delivery 7. Model-assisted steps cannot invent styles/fonts and no AI iteration on existing documents is evidenced (mutation 4); deterministic verification plus human review shape human_loop 5."
visk,7.2,7,7,8,7,7,"Near-pixel-matched bidirectional PPTX↔HTML conversion lets an agent author unconstrained HTML/CSS that a deterministic converter materializes as native PowerPoint primitives, with reverse rendering giving the agent visual feedback; an agent-driven design loop over real slides supports authority/mutation 7 and artifact 8. Template masters are protected and the loop runs automatically (human_loop 7); 'bidirectional' is recorded as representation conversion, not multi-master sync, noted as a boundary."
mcp-openems,5.4,5,6,6,5,5,"Agent-callable openEMS operations generate validated Python/openEMS solver scripts and parameterized models and return simulation artifacts; AI authors inspectable engineering scripts, supporting authority 5 and mutation 6 (an agent can vary a parameter and rerun the deterministic engine). Durable artifacts are solver programs and native result files (6); this is a bridge to an engineering loop with human review, so human_loop 5 and delivery 5."
tuna,5.8,5,7,6,5,6,"Runtime overlay captures user visual manipulations as structured pending diffs (selectors, Fiber ancestry, before/after) and hands them to an external coding agent via MCP tools that persist the change into source; the agent directly mutates the real codebase (mutation 7) but the human makes the visual design decisions (authority 5, human_loop 5). Application source remains the durable artifact (6) and the loop closes when the agent applies changes (delivery 6)."
ainaming,4.6,5,5,6,3,4,"Figma plugin where the model suggests only a suffix while deterministic filters, designer-confirmed anchors, and uniqueness validation gate keys before node.name writes on apply; the AI's creative contribution is bounded but real (authority 5) and apply messages mutate native layers (mutation 5) into a durable key dictionary (artifact 6). The designer confirms/edit/skips/apply flow makes it heavily human-gated (human_loop 3) and the deliverable is a rename fragment rather than a full artifact (delivery 4)."
quiverai,7.2,8,6,8,7,7,"Prompts and raster references become editable SVG source via the Arrow model family, stored as creation records in Gallery and served through app, public API and hosted MCP; the AI authors the vector design, so authority 8 and artifact 8. MCP can operate on an existing creation/supplied SVG and export SVG/raster derivatives, giving mutation 6 and delivery 7; humans compare/share candidates rather than editing paths in-canvas (no path editor evidenced)."
embodied-scene-generation,6.6,7,7,8,6,5,"Agent pipeline assembles structured indoor scenes from text and an object library into scene.schema.json, MCP scene operations edit the same entities, and a browser editor with constraint resolution and reversible history provides inspection; a real agent-driven, constraint-aware design loop supports authority/mutation 7 and artifact 8. Delivery is moderate (5) because export or sharing to a final format is not evidenced beyond the manipulable scene; a person still inspects the structured room (human_loop 6)."
design-harness,6.2,7,6,7,5,6,"UI-architect and UI-composer agents design components and views in Pencil and commit approved DESIGN.md/components.json/views.json specifications that a downstream coding agent implements; agents author the portable design system, so authority 7 and artifact 7. Human gates separate exploration from specification (human_loop 5); mutation 6 covers layer-by-layer spec commits and design-QA checking the implementation without letting code replace the spec."
codejet,7.2,7,7,8,6,8,"Figma Assistant readiness checks plus AI code generation translate selected designs into HTML/CSS that opens in a live Visual Editor and can be published; AI authors the site code from a human Figma design (authority 7) and continued visual editing makes the code project authoritative over time (mutation 7, artifact 8). Delivery to a published website is strong (8) with human_loop 6 from assistant checks and launch steps; reverse sync into Figma is not evidenced."
prism-prompt-to-ui,7.2,8,7,7,7,7,"Planner/art-director/composer/choreographer/critic agents converge on a validated Scene IR (palette, typography, camera, lights, primitives, motion) with scene-granular regeneration and compilation into a self-contained Next.js project; multi-agent authorship of a rich design graph supports authority 8. Regenerate-scene replaces only one scene by stable ID, giving identity-preserving mutation 7; the IR stays in client memory without a durable project DB (artifact 7) and ZIP export closes delivery at 7."
unreal-mcp,6.6,6,7,8,6,6,"Experimental editor plugin embedding a local MCP server that runs tool requests on the Unreal game thread to spawn actors, configure lighting and create material instances; an agent bridge that mutates native engine assets directly supports mutation 7 and artifact 8 (Unreal-native authority). Authority 6 because the plugin is tool infrastructure and the external agent does the creating; serial execution under review keeps human_loop 6 and delivery 6."
silvercraft-ai,5.2,7,4,6,4,5,"Supervisor routes only delegated requests to stage specialists that emit strict JSON data-model artifacts (source-analysis/conceptual/logical/physical) for human edit and HITL approval; AI authors structured models, so authority 7, but the loop is approval-heavy (human_loop 4). Artifact edits overwrite current content without revision history and the verified Studio path does not establish exports as the universal delivery path, so mutation 4, artifact 6 and delivery 5."
ryzeai-lakshmi,6.0,7,7,6,5,5,"Groq planner/generator/explainer agents produce React source that the generator validates, a modify route sends current code plus a requested change back through the model, and a version store supports rollback; genuine AI iteration on the artifact supports authority/mutation 7. The version store is process memory only, erased on restart (artifact 6), and preview is a supported-JSX sandbox rather than a deployment pipeline (delivery 5); user-requested modifications set human_loop 5."
ai-component-builder-stacked,4.6,7,2,5,5,4,"Gemini writes React source that the user evaluates in a React/Babel/Tailwind srcDoc preview with a source tab; an intentionally small single-shot component loop, so authority 7 but mutation 2 (no iteration on or persistence of a prior artifact). No version, deployment, or wired Firebase state exists (artifact 5, delivery 4); the human evaluating the same string is the loop (human_loop 5)."
localoffice,5.6,6,4,7,5,6,"Every editor is a self-contained HTML app with a copy-ready authoring prompt so an external LLM returns a conforming JSON envelope that is validated and remains editable; AI proposes content while deterministic code owns math/validation/rendering, so authority 6 and artifact 7. Mutation 4 because AI output is generated per request rather than repairing existing objects; HTML/SVG embeds and export give delivery 6, with validation and human editing at human_loop 5."
reel-studio,7.4,8,7,8,6,8,"Film project/timeline data model (scenes, shots, cast/locations, takes, generation jobs) with async take generation, review, promotion and post-production until export, exposed over MCP with idempotency keys; AI generates takes into a durable, promotable project, so authority/artifact/delivery are 8. Human checkpoints before overwriting timeline work or exporting keep human_loop 6; mutation 7 covers take promotion, timeline assembly and audio/mix edits."
open-generative-ui,5.6,8,3,6,6,5,"The model supplies streamed HTML/CSS/JS-function/expression parameters rendered progressively with Idiomorph patching and finalized in an isolated WebSandbox iframe; the model authors the full UI artifact, so authority 8 and artifact 6. Generation is per-request with no mutation of a persistent artifact (mutation 3); persistence and deployment are an embedding product's responsibility and exported code leaves the sandbox, so delivery 5 and human_loop 6."
primo,7.0,6,7,8,6,8,"Visual CMS with an exposed structured site folder: primo pull exports managed records to local files a human or coding agent edits and primo push validates, diffs and imports back; direct agent mutation of CMS state through ordinary file semantics supports mutation 7 and artifact 8 (DB records plus versioned folder). The published site is a real delivery (8) and the safe pull/edit/inspect-push/push loop keeps a human involved (6); authority 6 since the agent edits within the CMS model."
genoffice,7.2,7,8,8,6,7,"Presentation app parses/renders/edits/saves real PPTX where slides-skill exposes bounded deck operations, generation lands in the same editor state, and slide-qc auto-restores layout-audit regressions from screenshot feedback; AI mutates the native deck with corrective QC, supporting mutation 8 and artifact 8. Chat history binds to the file path and save reopens the written PPTX, proving the file is the durability boundary; authority 7, human_loop 6 with visible history batches and rollback, delivery 7 via saved real PPTX."
forma-ai-service,7.0,8,7,7,6,7,"Control-flow agent cycles a Designer, a Coder and a headless PyVista renderer until the rendered model is approved or actionable feedback returns, with build123d Python and the resolved solid as engineering authority; a self-contained multi-agent CAD loop supports authority 8 and mutation 7 (feedback re-enters the same session). Executable source plus STEP/STL exports give artifact/delivery 7; generated CAD code remains an execution boundary that must be reviewed, so human_loop 6."
openmaic,7.0,7,7,8,6,7,"AI-created teaching material is stored as editable slide/simulation/whiteboard artifacts with operation-based whiteboard folding, visible history, and conflict tests; agents act through bounded classroom tools whose payloads pass canonicalization/validation before becoming state, supporting authority/mutation 7 and artifact 8. The platform can save and publish interactive lessons and export PPTX/HTML/video, closing delivery at 7; bounded tools and validation gates keep human_loop 6."
react-component-generator-mohit,5.2,7,3,6,5,5,"Gemini parses the prompt into a component payload persisted as durable component records in Mongo with a history and download surface and live preview; AI authors the component, so authority 7 and artifact 6. There is no per-edit snapshot or iteration chain inside a single component (mutation 3); downloads and runtime preview stop short of deployment, setting delivery 5 and human_loop 5."
ai-component-builder-aditya,6.6,7,8,7,6,5,"The chat route sends current code plus conversation to Azure OpenAI, writes the result back to the component, increments component_versions, and direct edits update the same source and CSS-property state; current code anchors every AI turn, so mutation 8 and authority 7. Versioned component source and property state form the durable artifact (7) and the editor/property panel/LivePreview close the visual loop (human_loop 6); deployment is absent, so delivery 5."
img2pptx,5.2,6,2,7,5,6,"Agent skill reconstructs raster figures into a modular SVG graph (full.svg, component manifest, reusable module SVGs, QA evidence) packaged as final.pptx, reporting whether conversion was actually tested; AI-led semantic vector reconstruction, so authority 6 and artifact 7. It is a one-shot conversion with no iteration on existing output (mutation 2); native-shape conversion depends on PowerPoint/OS, so delivery 6 and human_loop 5."
text-to-website-rahul,4.8,7,2,5,5,5,"March 2023 hackathon pipeline (GPT-4 + LangChain + Streamlit) turns a short brief into executable standalone HTML, with preserved sample outputs proving real web artifacts; AI authors the complete artifact, so authority 7. There is no durable project or revision model and no AI iteration on outputs (mutation 2, artifact 5); delivery is the standalone HTML (5) and the human only enters the brief (human_loop 5); lifecycle is historical but scored as last evidenced."
heuristic-ai,3.0,3,1,5,4,2,"AI audits a selected Figma frame and authors a merged score/issue list, but the human-designed frame remains design authority; ""Mutation is not yet the ordinary-user authority"" — no apply-fix action is implemented, so it cannot change the artifact (mutation 1). The merged node-addressed report with Markdown export is a structured artifact (artifact 5), run is triggered per frame and fixes are applied manually by the user (human_loop 4), and it delivers only an audit/review fragment, not a shipped design (delivery 2)."
kgents,3.8,2,2,5,5,5,"Kgents wraps external Langflow graphs in Agent-as-a-Service lifecycle management: ""It does not synthesize a new graph from the description"", and ""Langflow owns graph authoring"" — so AI does not create the design (authority 2) and runtime selection only discovers existing flows (mutation 2). It creates durable version snapshots and deployable flow.json build contexts (artifact 5), automates versioning/deploy orchestration with human-driven promotion (human_loop 5), and ships a runnable image/Cloud Run deployment back to users (delivery 5)."
