slug,product,organization,evidence_depth,lifecycle
dograh,Dograh,dograh,source,active
refly,Refly,refly,source,active
claraverse,ClaraVerse,claraverse,source,active
agents-ui,agents-ui,ngxba,source,active
chatdev,ChatDev 2.0 and DevAll,openbmb,source,active
open-gumloop,Open Gumloop,composio,source,active
archon-workflows,Archon by Cole Medin,cole-medin,source,active
astron-rpa,Astron RPA,iflytek,source,active
chatbotx,ChatbotX,chatbotx,source,active
smythos-studio,SmythOS Studio,smythos,source,active
flock-agent-orchestrator,Flock,onelevenvy,source,active
tesslate-agent-builder,Tesslate Agent Builder,tesslate,source,active
fireworks-tech-graph,Fireworks Tech Graph,yizhiyanhua-ai,source,active
automotive-skills-suite,Automotive Skills Suite,jherrod-thomas,source,active
teable,Teable,teable,architecture,active
budibase,Budibase,budibase,source,active
vercel-workflow-builder-template,Vercel AI Workflow Builder Template,vercel,source,active
wrenai,WrenAI,canner,source,active
n8n-workflow-builder-mcp,n8n Workflow Builder MCP Server,yasin-boelhouwer,source,active
orca-ide,Orca IDE,stably,source,active
tersa,Tersa,vercel,source,active
buzz-workspace,Buzz,block,source,active
fluxorai,FluxorAI,priyanshu-paul,source,active
ledgyx,Ledgyx,ineron,architecture,active
agent-canvas-randomvibecoder,Agent Canvas,randomvibecoder,source,active
timecapsule-slm,TimeCapsule SLM,microcandella,source,active
canvas-ai-page-context-generation,Canvas AI Page Context Generation Skill,akhil-babu,source,active
varbase-ai-figma,Varbase AI Figma,vardot,source,active
drup-aid,Drup-AID,drelf,source,active
ai-shortfilm-studio,AI Shortfilm Studio,dcongthinh,source,active
wafiq-ai-workflow-generator,AI Workflow Generator by Wafiq,wafiq,source,active
ai-game-launchpad,AI Game LaunchPad,oplooins,source,active
kedar-ai-workflow-studio,AI Workflow Studio by Kedar Vartak,kedar-vartak,source,active
erin-ai-workflow-studio,AI Workflow Studio by Erin,erin-workflow-studio-team,source,active
workflowai-dresar,WorkflowAI by Dresar,eka-syarif-maulana,source,active
wallbit-workflows,Wallbit Workflows,jeremyjsx,source,active
homebrain,HomeBrain,mefree2098,source,active
comfyui-workflow-studio,ComfyUI Workflow Studio,ketle-man,source,active
smartmodeler,SmartModeler,yusuf-eminoglu,source,active
drupal-canvas,Drupal Canvas,drupal,source,active
drupal-canvas-plugin,Drupal Canvas Plugin,alphons-jaimon,source,active
canvas-ai-migrations,Canvas AI Migrations,alphons-jaimon,source,active
ai-figma,AI Figma,vardot,source,active
maf-agent-builder-canvas,MAF Agent Builder Canvas,dcnsakthi,source,active
leon-ai-agent-builder,AI Agent Builder by Leon,leon-hypers,source,active
aidemyst-agentstudio,Aidemyst AgentStudio,aidemyst,source,active
trinity-creative-canvas,Trinity Creative Canvas,mathias-engel,source,active
quill-ai,Quill AI,tovrr,source,active
fracta-agent-builder,FRACTA Visual Agent Builder,asheesh109,source,active
agentix,Agentix,pruthviraj75,source,active
nodemind,NodeMind,kashyapv45,source,active
forgelang,ForgeLang,cloud9ops,source,active
voiceblox,Voiceblox,okanaganrusty,source,active
donkeywork-agents,DonkeyWork Agents,andyjmorgan,source,active
opencode-flow,OpenCode Flow,igor-warzocha,source,archived
gemini-resume-builder,Gemini Resume Builder,om-kshirsagar,source,active
voice-ai-workflow-builder,Voice AI Workflow Builder,quantai3113,source,active
adk-studio,ADK Studio,zavora-ai,source,active
openai-agent-builder,OpenAI Agent Builder,openai,architecture,archived
sim,Sim,simstudioai,source,active
ragflow,RAGFlow,infiniflow,source,active
google-adk-web,Google ADK Web / Visual Agent Builder,google,source,active
nyno,Nyno,flowagi-eu,source,active
flowise,Flowise,flowiseai,source,active
flowforge-ai-daniiel,FlowForge AI by Daniel,daniiel,source,active
nextflow-aadithyanas,Nextflow by Aadithyan A.S,aadithyanas,source,active
google-adk-nocode,No-Code ADK Interface,abhishek-kumar-35,source,active
i-love-agents,I Love Agents,aditthyass,source,active
aispirit-agent,AISpirit Agent,aispiritlabs,source,active
nextflow-ai-workflow-builder,NextFlow AI Workflow Builder,ak-jaat-007,source,active
local-visual-agent-workflow,Local Visual Agent Workflow,amiteshkch,source,active
visual-agent-builder-amrsaeed,AI Tutors Hub Visual Agent Builder,amrsaeedbadway,source,active
ai-workflow-builder-anshii,AI Workflow Builder by Anshi Jain,anshii-jain,source,active
agent-mesh-sre,Agent Mesh on Streaming World,aswinayyolath,source,active
tessra,Tessra,ayush-that,source,active
orchestral-ai,Orchestral AI,binaryshrey,source,active
visual-agent-builder-brahim,Visual Agent Builder by Brahim Abdelbeki,brahim-abdelbeki,source,active
brainfuel-agent-builder,Brainfuel Agent Builder,brainfuel,source,active
burhan-ai-workflow-builder,AI Workflow Builder by Burhan086,burhan086,source,active
naaviq,Naaviq,chandradot99,source,active
agentbuilder-chebale,AgentBuilder by Chebale Omkar,chebaleomkar,source,active
no-code-ai-workflow-codexnever,AI Workflow Builder by Codexnever,codexnever,source,active
system-prompt,System Prompt,codyadam,source,active
contextui,ContextUI,contextui-desktop,source,active
aetheros,AETHEROS,dafum,source,active
adk-playground,ADK Playground,danroblewis,source,active
floagenticai,FloAgenticAI,dearzubi,source,active
openagent,OpenAgent by DeepFlowAI,deepflowai,source,active
ai-workflow-demilade,AI Workflow Builder by Demilade01,demilade01,source,active
planet-ai-workflow,Planet AI Workflow Builder,dhanu81-dev,source,active
polysynergy,PolySynergy,dionsnoeijen,source,active
drag-and-swap,Drag-and-Swap,farrelljoswara,source,active
ai-workflow-builder-fuleinist,ai-workflow-builder by fuleinist,fuleinist,source,active
giselle,Giselle,giselles-ai,source,active
aios,AIOS,harshchavan009,source,active
heym,Heym,heymrun,source,active
crimetryx-ai,CRIMETRYX AI,ar-droid,source,active
workshop-buddy,Workshop Buddy,microsoft,source,active
taskstream,TaskStream,jason-jz-zhu,source,active
joysafeter,JoySafeter,jd-com,source,active
quorve,Quorve,jedidiahdev,source,active
froglips,Froglips,jeritano,source,active
agent-workflow-canvas,Agent Workflow Canvas,kevin-astuhuaman,source,active
human-control-plane,Human Control Plane,kevin-astuhuaman,source,active
kyndryl-agent-builder,Kyndryl Consult Agent Builder for Modernization,kyndryl,source,active
agentforge,AgentForge,lanekingkong,source,active
flowspect,FlowSpect,lonkins,source,active
brokieai,BrokieAI,magicred-1,source,active
abc-agent-builder-console,ABC Agent Builder Console,magpiefelt,source,active
ghosted,Ghosted,megasupersoft,source,active
melaya,Melaya Agent Builder,melaya-labs,architecture,active
graph-ai,Graph AI,musashimiyomoto,source,active
ai-workflow-builder-nids12,AI Workflow Builder by Nidhi Sarda,nids12,source,active
forge-nihalashetty,Forge by Nihal A. Shetty,nihalashetty,source,active
nodebase-ai-workflow-builder,NodeBase AI Workflow Builder,nikhil-vs1811,source,active
hustl3,Hustl3,nisargpatel7042lva,source,active
sutradhar-ai,Sutradhar AI,team-yurei,source,active
soniq,Soniq,rachitt,source,active
lightlang-workflow-builder,LightLang AI Workflow Builder,reasonmethis,source,active
visual-agent-builder-reedrich12,Visual Agent Builder by Reed Richardson,reedrich12,source,active
nextflow-richa-sharma,NextFlow by Richa Sharma,richa-sharma,source,active
ai-workflow-builder-rmounith,AI Workflow Builder by R. Mounith Reddy,rmounithreddy,source,active
ai-workflow-builder-robertsbob,AI Workflow Builder by Roberts B,robertsbob,source,active
flow-maker,Flow Maker,run-llama,source,active
ai-workflow-builder-sanket-hatti,AI Agent Workflow Builder by Sanket Hatti,sanket-hatti,source,active
heliosgen,HeliosGen,segfault42,source,active
modelweave,ModelWeave,serhii-sotskyi,source,active
agenticbuilder-showjihyun,AgenticBuilder by showjihyun,showjihyun,source,active
ai-workflow-builder-sneha-chaurasia,AI Workflow Builder by Sneha Chaurasia,sneha-chaurasia,source,active
visual-agent-builder-studentfrederick,Visual Agent Builder by Freek van den Bosch,studentfrederick,source,active
ai-workflow-builder-subham-mohanta,AI Workflow Builder by Subham Mohanta,subham-mohanta,source,active
aura-ai-workflow-builder,Aura AI Workflow Builder,surabhi2408,source,active
smart-canvas,Smart Canvas,suzam26,source,active
ai-workflow-tim-wijma,AI Workflow Builder by Tim Wijma,tim-wijma,source,active
cadens,Cadens,tofulabai,architecture,active
ai-workflow-builder-toobahasnain,AI Workflow Builder by Syeda Tooba Hasnain,toobahasnain,source,active
kgents,Kgents,ugo5738,source,active
ai-workflow-builder-upinder28,AI Workflow Builder by Upinder Kaur,upinder28,source,active
ai-workflow-automation-vmk,AI Workflow Builder Platform by VMK-004,vmk-004,source,active
n8n-ai-workflow-builder-w3jdev,N8N AI Workflow Builder by W3JDev,w3jdev,source,active
agcluster-container,AgCluster Container,whiteboardmonk,source,active
agentforge-winka-alcel,AgentForge by winka-alcel,winka-alcel,source,active
doodleagent,Doodle Agent,yifank,source,active
voice-agent-platform-yumikoood,Voice Agent Platform by YumikoooD,yumikoood,source,active
ai-ui-builder-eptura,AI UI Builder by Alexandr Davydov,alexandr-davydov,source,active
ai-ui-builder-beingshappy,AI UI Builder by beingshappy,beingshappy,source,active
composeflow,ComposeFlow,composeflow,source,active
frappe-studio,Frappe Studio,frappe,source,active
grills,Grills,grillsdev,source,active
ai-ui-builder-sharadpatil,AI UI Builder by Sharad Patil,sharadpatil1415,source,active
dyad,Dyad,dyad,source,active
mobirise-ai,Mobirise AI,mobirise,architecture,active
ai-website-builder-ratna,AI-Powered Website Builder by Ratna Babu,ratna-babu,source,active
playcode,PlayCode AI,playcode,architecture,active
ai-website-builder-builtbyv,AI Website Builder by V,builtbyv,source,active
codey,Codey,hamza-amir,source,active
deepsite,DeepSite,enzostvs,source,active
cofounder,Cofounder,openinterface,source,active
prompt2ui-sully,Prompt2UI by Sully Omar,sully-omar,source,active
prompt-to-ui-sanyam,Prompt to UI by Sanyam Bassi,sanyam-bassi,source,active
prompt-ui-ayesha-mahek,Prompt-UI by Ayesha and Mahek,ayesha25-mahek,source,active
prism-prompt-to-ui,PRISM,trillion6,source,active
convertix-ai,Convertix AI,radwa-talaat,source,active
landingforge,LandingForge,amarhouse,source,active
alwaysblue,AlwaysBlue,rashed-hasan,source,active
ai-landing-page-studio,AI Landing Page Studio,aditya-dwi-putra,source,active
ai-landing-page-builder-ali-tamer,AI Landing Page Builder by Ali Tamer,ali-tamer,source,active
pagepilot,PagePilot,galih-pratama,source,active
openkombai,OpenKombai,hrishikesh-bania,source,active
getui-ai,GetUI.ai,jayesh,source,active
ai-module-generator-sawan,AI Module Generator by Sawan Kumar,sawan-kumar,source,active
ai-frontend-generator-arijeet,AI Frontend Generator by Arijeet Priyadarshi,arijeet-priyadarshi,source,active
ai-frontend-generator-marcelorl,AI Frontend Generator by Marcelo Lima,marcelo-lima,source,archived
ai-frontend-generator-metamil,AI Frontend Generator by Tamil Selvan,tamil-selvan,source,archived
ai-component-builder-aditya,AI Component Builder by Aditya Sharma,aditya-sharma,source,active
ai-frontend-generator-amit,AI Frontend Generator by Amit Sharma,amit-sharma,source,active
gnr8,GNR8,srayash,source,active
webcraft,WebCraft,webcraft-team,source,active
hexcode,HexCode,hexcode-team,source,active
curate,Curate,curate-team,source,active
text-to-website-rahul,TextToWebsite,rahul-amlekar,source,archived
genweb-dhruv,GenWeb by Dhruv Pansuriya,dhruv-pansuriya,source,active
webgalaxy,WebGalaxy,webgalaxy-team,source,active
webagent-ragul,WebAgent,ragul,source,active
frame-bucket,Frame Bucket,mckechniep,source,active
redesignr-ai,Redesignr AI,web5lab,architecture,active
lanhu-to-code,Lanhu to Code,ursazoo,source,active
storybook-assistant,Storybook Assistant,flight505,source,active
ai-webpage-generator-achua,AI Webpage Generator by Achuajays,achuajays,source,active
gpt4-landing-page-creator-renzo,GPT-4 Landing Page Creator,renzo-nogueira,source,archived
sitegen-ai-mohamad,SiteGen AI,mohamad-amjad,source,active
ai-webpage-generator-pa741,AI Webpage Generator by Pablo de Groot,pablo-de-groot,source,active
web-page-generator-natalie,Web Page Generator by Natalie Basille,natalie-basille,source,archived
ai-webpage-generator-pavan,AI Webpage Generator by Pavan Kumar,pavan-kumar,source,active
aether-architect,Aether Architect,w3jdev,source,active
ai-ui-components-generator-thegreatbonnie,AI-Powered UI Components Generator,thegreatbonnie,source,archived
hascode-ui,HasCode UI,lutfi-haslab,source,active
ai-ui-generator-kahab,AI UI Generator by Mohammed Kahab,mohammed-kahab,source,active
ai-ui-table-generator-dladislav,AI UI Table Generator,vladyslav-dobrodii,source,active
prompt-to-website-padala,Prompt-to-Website Generator by Varun Padala,padala-varun,source,active
codecooks,CodeCooks,codecooks-team,source,archived
ai-website-builder-shekhbasir,AI Website Builder by Shekh Basir,shekh-basir,source,active
panth-pagebuilder-ai,Panth PageBuilder AI,panth-infotech,source,active
synapse-app-builder,Synapse App Builder,andre-corugda,source,active
ai-voice-page-builder-graeber,AI Voice Page Builder,graeberj,source,archived
ai-code-tutor-video,AI CodeTutor Video Generator,pushkar-chandra,source,active
generative-ui-app-abhay,Generative UI App by Abhay,abhay-beinex,source,active
ai2ui-component-generator,AI2UI Component Generator,yuvalsuede,source,archived
ai-component-generator-sandbox,AI Component Generator Sandbox,daniela-vareiro,source,active
creai,CreAI,cristian-araoz,source,active
ai-react-component-generator-amit,AI React Component Generator by Amit Nandan,amit-nandan,source,active
shadway,Shadway,shadway-maintainers,source,active
solidworks-ai-cover-generator,SOLIDWORKS AI Cover Generator,regoletto,source,active
verilog-ide,Verilog IDE,sanjay-surampudi,source,active
bluestone-ai-jewelry-prototype,BlueStone AI Jewelry Prototype,shivam-mishra,source,active
micracode,Micracode,micracode-maintainers,source,active
ai-web-app-builder-mazzyy,AI Web App Builder by Abdul Musawar,abdul-musawar,source,active
nxtbuild,NxtBuild,abhishek121004,source,active
hanzo-app,Hanzo App,hanzo,source,active
modernui-maker,ModernUI Maker,om-singh,source,active
project-threejs-ai,project_threejs_ai,javascript-mastery,source,archived
osw-studio,OSW Studio,osw-studio-maintainers,source,active
website-that-builds-itself,Website That Builds Itself,echohive,source,archived
ai-component-builder-bamerf,AI Component Builder by Bamdad Erfanian,bamerf,source,archived
ai-component-builder-bluntbrain,AI Component Builder by bluntbrain,bluntbrain,source,active
ai-component-builder-stacked,AI Component Builder by StackedByAdit,stackedbyadit,source,active
ai-component-builder-gokul,AI Component Builder by Gokul Krishna,gokul-krishna,source,active
ai-component-builder-iaman,AI Component Builder by Aman Raj,aman-raj,source,active
ai-component-builder-debanik,AI Component Builder by Debanik,debanik,source,active
qwen3-coder-webdev-ethan,Qwen3 Coder WebDev by Ethan Ng,ethan-ng,source,active
bigbangdev,bigbangdev,ximanta,source,active
nemoclaw-game-factory,NemoClaw Game Factory,nv-drollins,source,active
ai-ui-builder-kiryuchi,AI-Powered UI Builder by kiryuchi10,kiryuchi10,source,active
deterministic-ai-ui-builder-ujjwal,Deterministic AI UI Builder by ujjwal1541,ujjwal1541,source,active
ui-architect-aranees,UI Architect by Anees ur Rehman,aranees-khan,source,active
deterministic-ai-ui-builder-codeacks,Deterministic AI UI Builder by codeacks,codeacks,source,active
ai-ui-builder-merchantry,AI UI Builder by Merchantry,merchantry,source,active
ai-website-generator-louvivien,AI Website Generator by Louvivien,louvivien,source,archived
ideaship,Ideaship,nathan-lu,source,active
ai-website-generator-shaxx,AI Website Generator by Shaxxshankari,shaxxshankari,source,active
ai-component-builder-devisha,AI Component Builder by Devisha Arora,devisha-arora,source,active
react-ai-component-builder-synytsin,React AI Component Builder by Artem Synytsin,artem-synytsin,source,active
yellow-machine,Yellow Machine,devesh-singh,source,active
a0-component-studio,a0 AI Component Studio,lochlann-ohiggins,source,active
promptonent,PromptOnent,abrar-ahmed,source,active
promptui-devsakshi,PromptUI by devSakshi022R,devsakshi022r,source,active
ai-website-generator-shrik4,AI Website Generator by shrik4,shrik4,source,active
ogata-ai,ogaTa.ai,ogata-maintainers,source,active
ai-website-generator-aifeifei,AI Website Generator by aifeifei798,aifeifei798,source,active
ai-website-generator-shrutika,AI Website Generator by Shrutika Kapade,shrutika-kapade,source,active
gensite-ai-devendra,GenSite AI,devendra-reddy,source,active
ai-website-generator-pappu,AI Website Generator by Pappu Kumar,pappu-kumar,source,active
webly,WebLy,ayushman-gupta,source,active
genu-advanced,GenU Advanced,cprince9,source,active
ai-ui-builder-isvaku,AI UI Builder by Rigoberto Quezada,rigoberto-quezada,source,active
webapp-ai-ui-builder,WebApp AI UI Builder,k3v123,source,active
aiwebgenerator-kuroda,AIWebGenerator by Kuroda Kayn,kuroda-kayn,source,active
pitch-craft,Pitch Craft,noman-rahim,source,active
webcraft-krish,WebCraft AI by Krish Anand,krish-anand,source,active
ai-component-builder-sanskriti,AI Component Builder by Sanskriti Singh,sanskriti-singh,source,active
ai-website-generator-shubh,AI Website Generator by shubharthaksangharsha,shubharthak-sangharsha,source,active
ai-component-builder-sfyr,AI-Powered UI Component Generator by Ryan,sfyr111,source,active
ai-ui-builder-akshay,AI UI Builder by Akshay Chaulya,akshay-chaulya,source,active
ui-builder-julianshen,AI UI Builder by Julian Shen,julian-shen,source,active
promptui-tushar,PromptUI by Tushar Mokal,tushar-mokal,source,active
webai-new,webAi.new,zeeshan1903,source,active
ai-website-generator-jordan,AI Website Generator by Jordan D'Souza,jordan-dsouza,source,active
ai-website-generator-nithin,AI Website Generator by Nithin1616,nithin1616,source,active
ai-orchestration-honey610,AI Orchestration UI Generator by Shishir Gupta,honey610,source,active
ai-website-generator-dhanu7789,AI Website Generator by Dhanu7789,dhanu7789,source,active
ai-component-builder-harshbhx,AI Component Builder by Harsh Bhanushali,harsh-bhanushali,source,active
ai-website-generator-tulsi,AI Website Generator by Tulsi Pandey,tulsi-pandey,source,active
verxa-ai,VERXA AI,cephas-tech-org,source,active
vision-ai-vishnu,VISION.AI by Vishnu Prahalathan,vishnu-prahalathan,source,active
siteforge-ai-psa,SiteForge AI by P Sreyanshu Anupam,psa21git,source,active
ai-website-generator-gururaj,AI Website Generator by GururajCharan,gururaj-charan,source,active
uigen-arshan,UIGen by Arshan Nawaz,arshan-nawaz,source,active
clientsight-gazebuilder,ClientSight / GazeBuilder,clientsight-gazebuilder-team,source,active
ai-website-generator-kpriya,AI Website Generator by Krishna Priya,krishna-priya,source,active
siteforge-ai-maf,SiteForge AI by Maf-Kelvin,maf-kelvin,source,active
ai-ui-builder-devdiego,AI UI Builder by Diego Perez,diego-perez,source,active
ai-website-generator-praneet,AI Website Generator by Praneet Biswal,praneet-biswal,source,active
ai-website-generator-rishi,AI Website Generator by Rishikesh Ugale,rishikesh-ugale,source,active
ai-website-generator-gokulbits,AI Website Generator by GokulBits18,gokulbits,source,active
ai-website-generator-aditya-umale,AI Website Generator by Aditya Umale,aditya-umale,source,active
ventura-startup-analyzer,Ventura Startup Analyzer,anand-c,source,active
image-to-react-iwahid,Image to React Component Converter by Imroz Wahid,imroz-wahid,source,active
ai-landing-generator-pro,IA Landing Generator Pro,emiliano-conti,source,active
instantsite-ai,InstantSite AI,datta-sable,source,active
genwebai-artibar,GenWebAI by Artibar,artibar,source,active
ai-website-generator-tony,AI-Powered Website Generator by Tony-VBB,tony-vbb,source,active
promptcraft-ai,PromptCraft AI,krish-kapuriya,source,active
premium-website-generator-edouard,Premium Website Generator by Edouard Kerwing,edouard-automations,source,active
webcraft-ai-siddharth,WebCraft AI by Siddharth Kumar Rai,siddharth-kumar-rai,source,active
ai-ui-generator-deepanshu,AI UI Generator by Deepanshu Sharma,deepanshu-sharma,source,active
ai-ui-generator-mondo,AI UI Generator by Mohannad Abdelrazek,mohannad-abdelrazek,source,active
ai-ui-generator-dhruv,AI UI Generator by Dhruv Jain,dhruv-jain,source,active
anthropic-course-uigen,UIGen Claude Code in Action sample,anthropic,source,active
ai-ui-generator-mohit,AI UI Generator by Mohit Aggarwal,mohit-aggarwal,source,active
ai-ui-generator-yash,AI UI Generator by yashsaini0759,yashsaini0759,source,active
artifex-ui-generator,Artifex UI Generator,fujitsu11,source,active
ryzen-ai-anushka,Ryzen AI by Anushka Chaudhary,anushka-chaudhary,source,active
vibeui-faraz,VibeUI by Farazkhan542,farazkhan542,source,active
ryze-ui-agent-mazhar,Ryze UI Agent by Mohd Mazhar Khan,mohd-mazhar-khan,source,active
ryzeai-lakshmi,RyzeAI by Lakshmiprasanth,lakshmiprasanth,source,active
ryze-ui-generator-rohit,Ryze UI Generator by Rohit Kumar,rohit-kumar,source,active
prompt2site-jay,Prompt2Site by Jay Sankopal,jay-sankopal,source,active
ai-generator-abhi,AI Generator by Abhi Gandhi,abhi-gandhi,source,active
webora-josiah,Webora by JOSIAHTHEPROGRAMMER,josiah-the-programmer,source,active
ai-website-builder-lab1207,AI Website Builder by Vaibhav Hajare,vaibhav-hajare,source,active
nexabuild-aqib,NexaBuild by Aqib Ahmed,aqib-ahmed,source,active
ai-website-builder-bonifacio,AI Website Builder by Bonifacio Calindoro,bonifacio-calindoro,source,active
ai-website-builder-zaran,AI Website Builder by Zyra,zyra-ai-assistant,source,active
ai-website-builder-mohammad,AI Website Builder by Mohammad Armaan,mohammad-armaan,source,active
ai-website-builder-firefetch,AI Website Builder by Firefetch,firefetch,source,active
ai-website-builder-vijay,AI Website Builder by Vijay Kusekar,vijay-kusekar,source,active
ai-website-builder-krishna,AI Website Builder by Krishna Paralkar,krishna-paralkar,source,active
agentic-ai-website-builder-akhil,Agentic AI Website Builder by Akhil Maratha,akhil-maratha,source,active
ai-website-builder-safwan,AI Website Builder by Safwan Hanif,safwan-hanif,source,active
webstew-ai,Webstew AI,sgk112,source,active
ai-component-generator-shakti,AI Component Generator by Shakti Prasad Ram,shakti-prasad-ram,source,active
react-component-generator-mohit,React Component Generator by Mohit Kumar,mohit-kumar,source,active
comp-gen-aditya,Comp-gen by Aditya Singh Gautam,aditya-singh-gautam,source,active
devoraui,DevoraUI,prit-zalavadiya,source,active
ai-website-builder-subrata,AI Website Builder by Subrata Ghosh,subrata-ghosh,source,active
agentsite,AgentSite,juan-denis,source,active
voxelsite,VoxelSite,nowsquare,source,active
ai-website-builder-dennis,AI Website Builder by Dennis Faucher,dennis-faucher,source,active
buildify-pragya,Buildify by Pragya Manna,pragya-manna,source,active
ai-website-builder-vardhan,AI Website Builder by Vardhan V,vardhan-v,source,active
ai-website-builder-lucas,AI Website Builder by Lucas H507,lucash507,source,active
ai-website-builder-markec,AI Website Builder by markec12345678,markec12345678,source,active
ai-website-builder-chitransh,AI Website Builder by Chitransh Chocksey,chitransh-chocksey,source,active
ai-app-builder-piyush,AI App Builder by Piyush Agarwal,piyush-agarwal,source,active
forge-dhruv,Forge by Dhruv Bansal,dhruv-bansal,source,active
ai-app-builder-saas-tauhid,AI App Builder SaaS by Yayasan At-Tauhid,yayasan-at-tauhid,source,active
raj-ai-app-builder,RAJ AI App Builder,raj-ai,source,active
luma-ai-studio,LUMA AI Studio,krishal-karna,source,active
vibesdk-mvp,VibeSDK MVP,stefanautomateed,source,active
buildrx,BuildRx,mabrig1,source,active
ai-ui-generator-harshi,AI UI Generator by Harshi,harshi0505,source,active
synapese-25,Synapese 25,biswajit-sarkar,source,active
forma-fluens,Forma Fluens,atharva-kulkarni,source,active
genui-dimple,GenUI by Dimple,dimple-choudhary,source,active
genui-aman,GenUI by Aman,aman-roniwal,source,active
takumi,Takumi,sejal-godbole,source,active
designforge-ai,DesignForge AI,codesbyshi,source,active
uichemy,UiChemy,posimyth,architecture,active
naano-wp-ai-builder,Naano WP AI Website Builder,naano-corp,source,active
spaceforge,Spaceforge,ron-reiter,source,active
xsharko-ai,XSharko AI,tamim-bro,source,active
naklikam,Naklikam,tedysek,source,active
buildora-ai-studio,Buildora AI Studio,adithya-tb,source,active
absbuilder,ABSBuilder,afi,source,active
vibra-code,Vibra Code,sehind-hemzani,source,active
sandboxd,sandboxd,tastyeffect,source,active
open-claude,Open Claude,damien,source,active
totalum-ai-app-builder,Totalum AI App Builder Open,totalum,architecture,active
nativebot,NativeBot,eason-wang,source,active
buildable,Buildable,buildable-contributors,source,active
builderai-raj,BuilderAI by Raj Patel,raj-patel,source,active
appfromai,AppFromAI,biosbrick,source,active
opsiforce,Opsiforce,opsima,source,active
ai-builder-nishant,AI Builder by Nishant Chaudhary,nishant-chaudhary,source,active
stitch-clone-khandev,Stitch Clone by Irfan Khan,irfan-khan,source,active
codeui-paurakh,CODEUI,paurakh-pyakurel,source,active
ayushi-ai,Ayushi.AI,harsh-rawat,source,active
webbuild-arpitt,WebBuild by Arpit Tiwari,arpit-tiwari,source,active
forgix,Forgix,tanaya-sherekar,source,active
gensite,GenSite,prathamesh-prasad,source,active
genie-ai-website-builder,Genie AI Website Builder,abhishek-agnihotri,source,active
fanbox,FanBox,fanbox-contributors,source,active
oboto,Oboto,sebastian-schepis,source,active
generative-ui-builder-v3rmxni7,Generative UI Builder,nischay-vermani,source,active
greatstack-ai-website-builder,GreatStack AI Website Builder course project,greatstack,source,active
penboard,PenBoard,zseven-w,source,active
appiav2,AppiaV2,morningstar,source,active
websitebuilder-susmita,AI-Powered Website Generator by Susmita Dey,susmita-dey,source,active
vibecoding-a-website,VibeCoding a Website,mark-hinkle,source,active
reactor-admineral,Reactor by admineral,admineral,source,active
cobra-ai-2,Cobra AI 2.0,harsh-pandey,source,active
ai-website-generator-tayyabeh,Agentic AI Website Builder by Tayyab Ellahi,tayyab-ellahi,source,active
quibly,Quibly,rohit173-sv,source,active
webai-sparsh,WebAI by Sparsh Joshi,sparsh-joshi,source,active
website-builder-agent-peter,Website Builder Agent by peter890176,peter890176,source,active
prompt-to-app-pradeep,Prompt-to-App AI Code Generator by Pradeep,pradeep9557,source,active
prompttoapp-sahil,PromptToApp by Sahil Tanwani,sahil-tanwani,source,active
front-end-builder-siddhartha,Front-end Builder by Siddhartha Kumar,siddhartha-kumar,source,active
ai-web-app-builder-shubha,AI-Powered Web App Builder by Shubha,shubha229,source,active
ai-app-builder-abdul,AI App Builder by Abdul Baqui,abdul-baqui,source,active
ai-app-developer-rajnish,AI App Developer by Rajnish Kumar,rajnish-kumar,source,active
forgeai-mousewarriors,ForgeAI by Mousewarriors,mousewarriors,source,active
noir-dev,NOIR.dev,radzfoundation,source,active
merchmate,MerchMate AI,syu213,source,active
fast-code-nova,Nova AI Builder in fast-code,shashi-shekhar-pandey,source,active
argus-sammy,Argus by Sammy Tourani,sammy-tourani,source,active
polaris-umang,Polaris by Umang,umang162,source,active
buildev-isjunrod,Buildev by Jun Rod,jun-rod,source,active
openvibecoding,OpenVibeCoding,tencent,source,active
deskhand,Deskhand,yuhao-corn,source,active
mdma,MDMA,mobile-reality,source,active
wordpress-ai-builder-apex,ApexNeural AI Website Builder for WordPress,apexneural,source,active
cloudflare-vibesdk,Cloudflare VibeSDK,cloudflare,source,active
firecrawl-open-lovable,Firecrawl Open Lovable,firecrawl,source,active
appmaker,AppMaker,philippos-ktistakis,source,active
ai-app-builder-edge,AI App Builder by Shoaib Ahmed,shoaib-ahmed,source,active
ai-app-builder-eugene,AI App Builder by Eugene McMillian,eugene-mcmillian,source,active
k2-vibe,K2 Vibe,hatif-osmani,source,active
genesis-highlevel,GENESIS HighLevel App Builder,bhavesh-shrivastav,source,active
tenali-v1,Tenali v-1,neelanjan-v,source,active
make-my-website-ai,MakeMyWebsite AI,krishna-sharma,source,active
ai-website-generator-varun,AI Website Generator by Varun Sharma,varun-sharma,source,active
llm-website-generator-yuzai,LLM Website Generator by Yuzai Akira,akira-yuzai,source,active
akn-website-generator,AKN AI Website Generator,akn-code,source,active
ai-website-generator-maurya,AI Website Generator by Maurya Patel,maurya-patel,source,active
builderweb,BuilderWeb,abdullah-shahid,source,active
kadnya,Kadnya,ctar,source,active
eter,ETER,ignacio-gentili,architecture,active
buildflow3,Buildflow3,choice-to-shorts,source,active
insightiq,InsightIQ Marketing Studio,nandu-priya,source,active
gstack,gstack,garry-tan,source,active
